Seq No,Item No,Description
1,22,Baton (ASP) + Holder
2,26,Blackhawk Hawkhook Knife
3,47,Duty Belt (Nylon)
4,78,Ear Piece
5,44,GH Body Armor Ext XL 2413/2415 + Panels
6,60,HJC Helmet M
7,77,HiVis Jacket
8,32,Life CPR Mask
9,13,M17 Holster System R
10,49,Pepper Spray + OC Pouch
11,18,Prlss H-cuffs  w/Key + Pouch
12,52,Black Sounders Citation Holder II
13,29,Red-Tip Tech CAT Tourniquet + Holder
14,156,Duty Belt Nylon
15,133,Prlss H-cuffs Key + Pouch (Plthr)
16,76,Body Armor External IIIA
